"p_eurefvote","p_gross_household","p_sexuality","age","al_scaleW14","lr_scaleW14","antiIntellectual","immigSelf","euPriorityBalance","ukCitizen","euCitizen","likeFarage","likeJohnson","likeCorbyn","likeMay","immig_att","eth_wBrit","eth_other","relig_coe","relig_other"
1,13,"Heterosexual",51,9,4.5,3,4,10,1,0,10,5,0,6,12,1,0,1,0
0,7,"Heterosexual",62,8.5,2,3,0,8,1,0,0,5,0,10,11,1,0,1,0
0,10,"Homosexual",65,6,3.5,4,5,5,1,0,0,0,2,0,2,1,0,0,1
1,5,"Heterosexual",70,7,5.5,3,0,10,1,0,6,6,0,3,6,1,0,0,1
1,13,"Heterosexual",58,7,2.5,3,1,8,1,0,0,2,0,0,10,1,0,1,0
1,5,"Heterosexual",66,9.5,4.5,4,0,8,1,0,10,10,0,8,5,1,0,1,0
0,6,"Heterosexual",62,7.5,0,2,10,0,1,0,0,0,7,0,0,1,0,1,0
0,11,"Heterosexual",44,4,8,4,5,2,1,0,0,4,0,8,3,1,0,1,0
0,6,"Heterosexual",67,7.5,3,3,4,3,NA,0,0,3,7,8,3,1,0,1,0
1,3,"Heterosexual",46,7.5,6,5,3,3,1,0,0,0,0,1,4,1,0,1,0
0,11,"Heterosexual",54,3,0,1,2,0,1,0,0,0,10,0,0,1,0,1,0
0,5,"Heterosexual",56,3.5,0,2,4,0,1,0,0,0,4,0,4,0,1,1,0
0,4,"Heterosexual",33,7,2.5,4,3,3,1,0,1,1,5,1,7,1,0,1,0
1,6,"Heterosexual",24,2,5,1,6,3,1,1,4,8,1,3,3,1,0,1,0
0,4,"Heterosexual",75,9,2.5,5,8,5,1,0,0,4,0,7,0,1,0,0,1
1,7,"Heterosexual",31,8.5,3.5,2,5,9,1,0,0,2,7,0,6,1,0,1,0
0,8,"Heterosexual",60,6.5,3.5,1,5,2,1,0,0,2,0,3,2,1,0,0,1
1,2,"Heterosexual",72,9,1.5,5,0,10,1,0,10,7,0,5,12,1,0,0,1
1,7,"Heterosexual",66,8,3,3,0,5,1,0,6,8,9,5,10,1,0,0,1
1,8,"Heterosexual",59,10,2.5,4,0,9,1,0,7,5,2,7,7,1,0,1,0
0,9,"Heterosexual",72,5,0.5,1,6,0,1,0,0,0,3,0,0,1,0,0,1
0,9,"Heterosexual",46,6.5,3,5,1,5,1,0,1,7,1,4,9,1,0,1,0
1,8,"Heterosexual",53,7.5,4,4,1,10,1,0,10,1,0,5,9,1,0,0,1
1,10,"Heterosexual",54,8.5,NA,3,2,5,1,0,6,5,2,6,8,1,0,0,1
0,4,"Heterosexual",69,5.5,2.5,2,4,6,1,0,2,0,3,4,8,1,0,0,1
0,8,"Heterosexual",53,3,0,3,8,0,1,0,0,0,6,0,0,1,0,1,0
0,5,"Heterosexual",54,7.5,1.5,4,2,6,1,0,5,6,7,7,8,1,0,1,0
1,7,"Heterosexual",43,9.5,2,2,0,1,1,0,6,8,0,1,9,1,0,0,1
0,13,"Heterosexual",28,6,4,4,5,0,1,0,4,6,2,6,5,1,0,1,0
1,5,"Heterosexual",66,9.5,3.5,4,0,10,1,0,0,0,0,3,12,1,0,0,1
0,9,"Heterosexual",41,4.5,1.5,1,4,8,1,0,4,1,0,NA,2,1,0,1,0
1,2,"Heterosexual",42,8.5,0.5,4,0,7,1,0,6,6,1,2,11,1,0,1,0
1,9,"Heterosexual",64,7,5,4,0,10,1,0,9,9,0,4,10,1,0,0,1
1,6,"Heterosexual",55,6,6.5,4,1,9,1,0,7,8,0,10,8,1,0,0,1
1,3,"Heterosexual",67,7,0,4,0,6,1,0,7,6,0,6,9,0,1,1,0
0,1,"Prefer not to say",50,5.5,3,1,7,0,1,0,0,0,1,6,3,1,0,0,1
0,4,"Heterosexual",76,3.5,5,3,6,7,1,0,4,0,1,6,2,1,0,1,0
0,8,"Heterosexual",48,7.5,6,3,6,3,1,0,5,5,0,6,2,1,0,1,0
1,8,"Heterosexual",65,6,6.5,3,2,9,1,0,3,5,0,10,8,1,0,0,1
0,10,"Heterosexual",40,7.5,4,3,3,3,1,0,0,3,3,4,4,1,0,0,1
0,5,"Heterosexual",63,6,6,3,8,1,1,0,2,5,2,9,2,1,0,0,1
0,6,"Heterosexual",72,4.5,6,1,5,2,1,0,0,0,0,3,4,1,0,0,1
1,9,"Bisexual",21,6,3.5,4,2,10,1,0,4,7,7,2,8,1,0,1,0
0,3,"Heterosexual",70,4.5,2.5,3,5,0,1,0,0,0,5,1,4,1,0,0,1
1,9,"Heterosexual",58,4.5,0.5,1,3,3,1,0,6,1,4,2,8,1,0,1,0
1,6,"Homosexual",73,6,2,4,3,5,1,0,5,5,0,8,7,1,0,1,0
0,8,"Heterosexual",56,4,0.5,3,5,3,1,0,0,0,4,0,2,1,0,1,0
0,1,"Heterosexual",77,9.5,2.5,5,0,6,1,0,6,8,0,9,6,1,0,0,1
0,7,"Heterosexual",74,4.5,4,2,5,0,1,0,1,0,2,0,1,1,0,1,0
1,2,"Homosexual",56,9,0,3,0,10,1,0,5,0,0,0,12,1,0,0,1
1,9,"Heterosexual",47,6.5,5.5,3,3,7,1,0,8,7,2,7,7,1,0,1,0
1,9,"Heterosexual",58,8,3,3,0,7,1,0,8,8,0,10,10,1,0,0,1
1,4,"Heterosexual",66,8.5,0,3,0,10,1,0,8,0,4,7,9,1,0,0,1
1,11,"Heterosexual",70,6,4,5,0,5,1,0,0,3,0,6,9,1,0,0,1
1,2,"Heterosexual",60,7,2,5,1,8,1,0,9,7,0,2,10,1,0,0,1
1,3,"Homosexual",74,4,1.5,4,2,9,1,0,9,5,4,5,10,1,0,0,1
0,13,"Heterosexual",49,5.5,4,3,5,2,1,0,0,2,0,7,3,1,0,0,1
0,10,"Heterosexual",39,8.5,6.5,3,3,10,1,0,0,5,0,6,8,1,0,1,0
1,13,"Heterosexual",42,8.5,3,4,1,10,1,0,10,5,9,0,12,0,1,1,0
1,1,"Heterosexual",20,5,4.5,5,0,10,1,0,0,NA,0,7,9,1,0,1,0
0,6,"Heterosexual",67,8.5,5,3,5,2,1,0,0,0,0,10,0,1,0,0,1
0,11,"Heterosexual",56,1,1,3,5,0,1,0,0,0,0,0,1,1,0,1,0
1,4,"Heterosexual",73,8.5,2,3,1,2,1,0,1,2,1,1,10,1,0,0,1
1,5,"Heterosexual",76,9.5,3.5,4,0,3,1,0,7,5,1,3,9,1,0,0,1
0,3,"Heterosexual",76,3,0,3,7,0,1,0,0,0,5,0,0,1,0,1,0
1,8,"Heterosexual",51,6.5,4.5,2,3,7,1,0,1,6,1,8,4,1,0,0,1
0,11,"Heterosexual",45,6.5,4,2,4,2,1,0,0,1,4,7,6,1,0,1,0
0,5,"Heterosexual",45,4,0.5,3,7,0,1,0,0,0,5,0,1,1,0,1,0
1,9,"Heterosexual",65,8.5,2.5,4,6,4,1,0,7,7,3,5,9,1,0,1,0
1,2,"Heterosexual",72,7,3.5,4,3,5,1,0,3,7,0,8,7,1,0,0,1
0,5,"Bisexual",29,2,1.5,2,7,2,1,0,0,0,2,1,2,1,0,0,1
1,4,"Heterosexual",65,5.5,3.5,5,0,10,1,0,9,5,1,2,12,1,0,0,1
0,11,"Heterosexual",50,3.5,0.5,2,7,0,1,0,0,0,5,0,0,1,0,1,0
0,9,"Heterosexual",48,4.5,2.5,1,5,0,1,0,0,0,3,0,0,0,1,1,0
0,4,"Heterosexual",59,4.5,2.5,3,8,2,1,0,0,0,8,0,5,1,0,0,1
1,5,"Heterosexual",73,8,1.5,3,1,5,1,0,8,10,9,0,9,1,0,0,1
0,8,"Heterosexual",55,3.5,0.5,2,5,1,1,0,0,0,10,0,2,1,0,1,0
1,2,"Heterosexual",51,7,5,3,6,5,1,0,1,4,6,7,4,1,0,0,1
0,3,"Heterosexual",62,3.5,2,2,5,0,1,0,0,0,6,0,3,1,0,1,0
1,4,"Heterosexual",47,9,0,2,0,7,1,0,5,2,0,5,10,1,0,1,0
0,4,"Heterosexual",66,5.5,0.5,2,9,0,1,1,0,0,4,3,0,1,0,1,0
0,5,"Heterosexual",49,6,2.5,2,5,1,1,0,1,0,1,2,5,1,0,1,0
1,11,"Bisexual",71,4,4,4,4,7,1,0,2,3,3,6,4,1,0,1,0
1,9,"Bisexual",56,8,1.5,3,0,10,1,1,9,6,2,6,12,1,0,0,1
1,11,"Homosexual",38,3.5,4.5,2,5,7,1,1,1,7,0,3,6,1,0,1,0
0,5,"Heterosexual",31,0.5,1.5,1,8,2,1,0,0,0,3,2,0,1,0,1,0
0,9,"Heterosexual",60,8.5,3.5,3,0,5,1,0,2,0,0,7,8,1,0,0,1
0,4,"Heterosexual",70,6,2.5,4,0,10,1,1,6,3,3,3,11,1,0,1,0
0,13,"Heterosexual",38,5.5,6.5,4,4,5,1,0,0,0,0,5,5,1,0,0,NA
0,1,"Heterosexual",44,2.5,2,3,10,0,1,0,0,0,9,0,0,1,0,1,0
1,13,"Heterosexual",47,9.5,3.5,2,0,9,1,0,9,4,3,7,8,1,0,0,1
0,3,"Heterosexual",38,6,2,2,7,3,1,0,0,0,4,3,3,1,0,1,0
1,3,"Heterosexual",81,9,2,4,2,1,1,0,0,2,2,0,4,1,0,0,1
0,5,"Heterosexual",66,4.5,2.5,2,3,7,1,0,0,3,0,5,7,1,0,1,0
0,3,"Heterosexual",48,4.5,0,3,7,5,1,0,0,0,7,0,0,1,0,0,1
1,9,"Heterosexual",67,6.5,5,3,3,1,1,0,10,10,6,10,5,1,0,0,1
0,6,"Heterosexual",62,4,NA,5,6,0,1,0,0,0,1,0,3,1,0,1,0
0,4,"Heterosexual",76,5.5,3,2,6,1,1,0,0,2,0,7,2,1,0,0,1
0,7,"Heterosexual",65,7.5,2.5,2,4,1,1,0,0,0,3,0,2,1,0,0,1
